expr,time
selection_sort(arr10000),1853811996
quickSort(arr10),186099
bubble_sort(arr10),20916
bubble_sort(arr1000),72637043
selection_sort(arr100),273280
selection_sort(arr10000),1862517945
bubble_sort(arr100),558892
bubble_sort(arr1000),51083704
bubble_sort(arr10),15998
selection_sort(arr1000),18503023
quickSort(arr1000),5239855
selection_sort(arr10000),1841071964
selection_sort(arr100),214420
quickSort(arr100),1853590
selection_sort(arr10),9199
bubble_sort(arr10),11353
bubble_sort(arr1000),50704069
quickSort(arr10),94199
quickSort(arr100),456789
selection_sort(arr10),9469
bubble_sort(arr100),550385
quickSort(arr1000),4654138
quickSort(arr100),449285
quickSort(arr1000),4451611
selection_sort(arr10000),1825335593
quickSort(arr10000),54812786
selection_sort(arr100),240480
quickSort(arr10),55623
selection_sort(arr10000),1878406335
bubble_sort(arr100),563903
bubble_sort(arr10000),5638221881
quickSort(arr100),514331
bubble_sort(arr100),542816
selection_sort(arr10),7542
selection_sort(arr100),199389
quickSort(arr10000),52794808
selection_sort(arr100),276754
bubble_sort(arr1000),52544944
quickSort(arr10),79568
selection_sort(arr10000),1806296151
bubble_sort(arr10000),5081548343
quickSort(arr10),80835
bubble_sort(arr10000),5135450869
bubble_sort(arr1000),50898149
selection_sort(arr10),13799
selection_sort(arr10000),1822929405
selection_sort(arr1000),18744332
selection_sort(arr100),216390
quickSort(arr10),70595
selection_sort(arr10000),1818682721
selection_sort(arr1000),18107653
quickSort(arr10000),55803449
selection_sort(arr100),292342
quickSort(arr10000),60776604
bubble_sort(arr100),654057
bubble_sort(arr10),10122
bubble_sort(arr10),8710
bubble_sort(arr100),643927
quickSort(arr1000),6254151
quickSort(arr10000),60147085
quickSort(arr10000),58445674
quickSort(arr10),56090
bubble_sort(arr1000),54991713
bubble_sort(arr100),546134
quickSort(arr1000),6025603
bubble_sort(arr10000),5221295423
selection_sort(arr10),13251
quickSort(arr10),66729
quickSort(arr1000),4536225
bubble_sort(arr1000),50293519
quickSort(arr1000),4454417
quickSort(arr100),444565
bubble_sort(arr1000),50258718
quickSort(arr100),489994
quickSort(arr10000),54391015
selection_sort(arr10),13316
quickSort(arr100),542830
bubble_sort(arr10000),5400384761
bubble_sort(arr100),656027
bubble_sort(arr10000),5622471261
bubble_sort(arr1000),51932264
selection_sort(arr100),215141
bubble_sort(arr1000),57564571
selection_sort(arr100),250958
quickSort(arr10),99829
selection_sort(arr1000),20896347
quickSort(arr10),93192
bubble_sort(arr10),13104
bubble_sort(arr10),9384
bubble_sort(arr10000),5630441829
bubble_sort(arr10),17914
bubble_sort(arr1000),56984905
selection_sort(arr1000),19549568
selection_sort(arr10),13093
bubble_sort(arr10000),5408496690
selection_sort(arr100),209507
bubble_sort(arr1000),49608496
selection_sort(arr100),206717
quickSort(arr1000),4535436
quickSort(arr10000),51013197
quickSort(arr1000),6853487
bubble_sort(arr100),633445
quickSort(arr10),44921
selection_sort(arr10000),1834523326
quickSort(arr10),71500
selection_sort(arr10000),2002815816
quickSort(arr10000),48699775
selection_sort(arr10),12558
quickSort(arr100),501018
quickSort(arr100),465146
bubble_sort(arr10000),5552191936
bubble_sort(arr1000),74821560
bubble_sort(arr10),21236
quickSort(arr1000),6501791
selection_sort(arr10000),1981170019
bubble_sort(arr1000),57387525
bubble_sort(arr10),16330
quickSort(arr1000),6983210
quickSort(arr100),522698
selection_sort(arr1000),21745927
quickSort(arr100),547029
quickSort(arr10000),58139217
selection_sort(arr10000),1901574144
quickSort(arr10000),62299814
selection_sort(arr10000),1960422153
quickSort(arr100),495345
bubble_sort(arr100),606209
selection_sort(arr1000),20694797
quickSort(arr1000),8101339
quickSort(arr1000),8173142
bubble_sort(arr100),685408
bubble_sort(arr100),628500
selection_sort(arr100),264234
quickSort(arr10),131929
selection_sort(arr1000),27507611
bubble_sort(arr100),652324
bubble_sort(arr100),614491
quickSort(arr10000),66356379
quickSort(arr1000),6151102
bubble_sort(arr1000),71956144
selection_sort(arr10000),1939910142
quickSort(arr100),483859
quickSort(arr10000),57304168
selection_sort(arr10000),1950906383
selection_sort(arr100),203746
bubble_sort(arr10),10408
quickSort(arr10),64271
selection_sort(arr10),6351
quickSort(arr10000),48888237
bubble_sort(arr1000),49827902
selection_sort(arr1000),17680543
quickSort(arr10000),53207323
quickSort(arr1000),5432753
selection_sort(arr1000),21462845
selection_sort(arr1000),21627575
quickSort(arr100),548774
bubble_sort(arr1000),53459701
bubble_sort(arr100),572660
quickSort(arr1000),6627213
bubble_sort(arr10000),5618097839
quickSort(arr100),546600
selection_sort(arr1000),21868598
selection_sort(arr10),16103
selection_sort(arr10000),2142606268
quickSort(arr100),574238
quickSort(arr10000),62932376
bubble_sort(arr10),16477
selection_sort(arr100),250323
bubble_sort(arr10000),7057834666
bubble_sort(arr10000),5358812485
bubble_sort(arr10000),5394532599
bubble_sort(arr100),617950
quickSort(arr10000),57206642
selection_sort(arr10),13157
bubble_sort(arr1000),55691885
bubble_sort(arr10),17124
quickSort(arr100),462718
quickSort(arr1000),4421961
quickSort(arr1000),4525780
selection_sort(arr10),10563
selection_sort(arr10000),1844549680
quickSort(arr100),492528
quickSort(arr10),39600
quickSort(arr10000),50683363
selection_sort(arr1000),18670583
quickSort(arr10000),100010980
bubble_sort(arr10),17015
bubble_sort(arr10),10089
selection_sort(arr1000),21088757
quickSort(arr10000),50174502
bubble_sort(arr100),640321
bubble_sort(arr10),9989
bubble_sort(arr100),660979
quickSort(arr10),98686
bubble_sort(arr1000),53064227
bubble_sort(arr10000),5172493809
bubble_sort(arr1000),51620782
selection_sort(arr10000),1822527752
quickSort(arr10000),50964449
bubble_sort(arr100),578218
bubble_sort(arr10000),5101876714
quickSort(arr1000),6208814
selection_sort(arr100),204751
bubble_sort(arr10000),5087371103
quickSort(arr1000),4300775
selection_sort(arr100),202632
bubble_sort(arr1000),51836364
bubble_sort(arr100),543681
bubble_sort(arr10000),5023551453
selection_sort(arr1000),20006811
selection_sort(arr100),216343
bubble_sort(arr10),10731
selection_sort(arr100),212877
selection_sort(arr10000),1827740182
selection_sort(arr10),12602
selection_sort(arr1000),18563496
bubble_sort(arr100),599665
quickSort(arr10),71295
bubble_sort(arr10000),5133493870
selection_sort(arr10),13886
selection_sort(arr1000),17851626
quickSort(arr1000),5966100
quickSort(arr10),38149
selection_sort(arr100),207401
bubble_sort(arr1000),49827748
bubble_sort(arr1000),49083473
selection_sort(arr10),10815
selection_sort(arr10000),1818979997
bubble_sort(arr100),545283
bubble_sort(arr10000),5068115343
selection_sort(arr10),13522
selection_sort(arr10000),1794875740
quickSort(arr10),113369
selection_sort(arr10),8140
quickSort(arr100),417028
selection_sort(arr100),193490
quickSort(arr100),426762
quickSort(arr1000),4431780
bubble_sort(arr1000),50659660
bubble_sort(arr10),14821
bubble_sort(arr10000),5077414261
selection_sort(arr10),13845
selection_sort(arr1000),19301384
quickSort(arr1000),4627458
selection_sort(arr10000),1801622336
selection_sort(arr10000),1779345775
selection_sort(arr10),13533
bubble_sort(arr100),552288
quickSort(arr1000),4504114
bubble_sort(arr10),10343
selection_sort(arr10),6323
